question,answer
Is chemokine ( C-C motif ) Ligand 2 a potential biomarker of inflammation & physical fitness in obese children : a cross-sectional study?,CCL2 serves a dual role as a potential biomarker of inflammation and fitness in obese children.
Do synthesis of bioactive and machinable miserite glass-ceramics for dental implant applications?,We present a novel approach for the synthesis of miserite GC with the physical and biological properties required for non-metallic dental implant applications.
Does primary prevention of pediatric lead exposure require new approaches to transfusion screening?,Transfusion of pRBCs is a source of lead exposure. Here we report the quantification of lead concentration in pRBCs. We found a >20-fold range of lead concentrations in the samples tested. Pretransfusion testing of pRBC units according to our proposed approach or donor screening of whole blood lead and selection of below-average units for transfusion to children would diminish an easily overlooked source of pediatric lead exposure.
Does patatin-like phospholipase domain-containing 3 I148M affect liver steatosis in patients with chronic hepatitis B?,"In CHB patients, the PNPLA3 I148M polymorphism influences susceptibility to steatosis and, in particular, when associated with severe overweight and alcohol intake, severe steatosis."
Is the fatty liver index associated with increased mortality in subjects referred to coronary angiography?,"In subjects referred to coronary angiography, high FLI levels are independently associated with increased all-cause, cardiovascular, and non-cardiovascular mortality as well as fatal cancer."
Does recreational physical activity ameliorate some of the negative impact of major depression on health-related quality of life?,Recreational physical activity appears to ameliorate some of the decline in HRQoL seen in association with MDE. Physical activity may be an effective tertiary preventive strategy for this condition.
Do different levels of cortical excitability reflect clinical fluctuations in migraine?,"In our migraine patients the strict relationship between presynaptic HFO amplitude and N20 recovery function suggests that changes of both parameters might be caused by modifications of the thalamo-cortical drive. Our findings suggest that the thalamo-cortical drive during interictal stages could fluctuate from abnormally high to abnormally low levels, depending on mechanisms which reduce cortical excitability in spontaneously improving patients, and increase cortical excitability in spontaneously worsening ones."
Does decreased expression of RNA-binding motif protein 3 correlate with tumour progression and poor prognosis in urothelial bladder cancer?,Loss of RBM3 expression is associated with clinically more aggressive tumours and an independent factor of poor prognosis in patients with urothelial bladder cancer and a potentially useful biomarker for treatment stratification and surveillance of disease progression.
Does supplementation with a powdered blend of PUFAs normalize DHA and AA levels in patients with PKU?,these results indicate that KeyOmega offers additional benefit over fish oil since both AA and DHA status are normalized in PKU patients supplemented with KeyOmega.
Is low penetrance susceptibility to glioma caused by the TP53 variant rs78378222?,"Our data provided strong validation of rs78378222 as a risk factor for glioma but do not support the tenet that the polymorphism being a clinically useful prognostic marker. Acquired TP53 inactivation is a common feature of glioma. As rs78378222 changes the polyadenylation signal of TP53 leading to impaired 3'-end processing of TP53 mRNA, the SNP has strong plausibility for being directly functional contributing to the aetiological basis of glioma."
